Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
Sep2016_L239_20m	QC	41865400.0	11876637977	41360071.0	11808411928	505329	68226049	2019-08-28-00:28:09
Sep2016_L626_11m	raw	136771464.0	41304982128	136771464.0	41304982128	0	0	2019-08-23-18:36:37
Sep2016_L626_11m	deduplicated	38588189.0	11653633078	38588189.0	11653633078	0	0	2019-08-23-23:34:08
Sep2016_L626_11m	filtered	37532525.0	10106097318	36649985.0	9990471612	882540	115625706	2019-08-24-12:02:53
Sep2016_L626_11m	clean	36649970.0	9990468297	36649970.0	9990468297	0	0	2019-08-28-10:07:48
Sep2016_L626_11m	QC	37532505.0	10106093275	36649970.0	9990468297	882535	115624978	2019-08-28-10:07:59
Sep2016_L227_06m	raw	53440373.0	16138992646	53440373.0	16138992646	0	0	2019-08-23-18:59:57
Sep2016_L227_06m	deduplicated	38743696.0	11700596192	38743696.0	11700596192	0	0	2019-08-24-04:14:21
Sep2016_L227_06m	filtered	38460630.0	10965142119	38106940.0	10917971306	353690	47170813	2019-08-24-12:25:36
Sep2016_L227_06m	clean	38106902.0	10917962478	38106902.0	10917962478	0	0	2019-08-28-03:04:01
Sep2016_L227_06m	QC	38460586.0	10965132517	38106902.0	10917962478	353684	47170039	2019-08-28-03:04:12
Jul2018_L221_05m	raw	34448703.0	13881046442	34448703.0	13881046442	0	0	2019-08-23-19:08:55
Jul2018_L221_05m	deduplicated	34379292.0	13852857263	34379292.0	13852857263	0	0	2019-08-24-05:51:09
Jul2018_L221_05m	filtered	34355629.0	13204844271	34263444.0	13186622533	92185	18221738	2019-08-24-09:46:54
Jul2018_L221_05m	clean	34263372.0	13186593419	34263372.0	13186593419	0	0	2019-08-26-03:31:36
Jul2018_L221_05m	QC	34355557.0	13204815157	34263372.0	13186593419	92185	18221738	2019-08-26-03:31:52
Jun2016_L442_09m	raw	65402891.0	19751673082	65402891.0	19751673082	0	0	2019-08-23-18:40:41
Jun2016_L442_09m	deduplicated	30891615.0	9329267730	30891615.0	9329267730	0	0	2019-08-24-01:36:14
Jun2016_L442_09m	filtered	30040160.0	8332036176	29461664.0	8254403081	578496	77633095	2019-08-24-13:56:37
Jun2016_L442_09m	clean	29461484.0	8254360215	29461484.0	8254360215	0	0	2019-08-31-10:04:18
Jun2016_L442_09m	QC	30039943.0	8331988221	29461484.0	8254360215	578459	77628006	2019-08-31-10:04:27
Jun2016_L222_05m	raw	54126473.0	16346194846	54126473.0	16346194846	0	0	2019-08-23-19:00:03
Jun2016_L222_05m	deduplicated	43592173.0	13164836246	43592173.0	13164836246	0	0	2019-08-24-04:24:09
Jun2016_L222_05m	filtered	43005195.0	12087360193	42683050.0	12045098643	322145	42261550	2019-08-24-10:53:23
Jun2016_L222_05m	clean	42682962.0	12045077730	42682962.0	12045077730	0	0	2019-08-27-15:19:10
Jun2016_L222_05m	QC	43005102.0	12087338562	42682962.0	12045077730	322140	42260832	2019-08-27-15:19:22
Sep2017_L227_01m	raw	39805413.0	16015571972	39805413.0	16015571972	0	0	2019-08-23-18:58:08
Sep2017_L227_01m	deduplicated	39730715.0	15985383219	39730715.0	15985383219	0	0	2019-08-24-03:52:16
Sep2017_L227_01m	filtered	39548729.0	15045567556	39195149.0	14977487813	353580	68079743	2019-08-24-07:31:25
Sep2017_L227_01m	clean	39195107.0	14977472483	39195107.0	14977472483	0	0	2019-08-25-23:40:51
Sep2017_L227_01m	QC	39548687.0	15045552226	39195107.0	14977472483	353580	68079743	2019-08-25-23:41:04
Jun2016_L239_20m	raw	46640254.0	14085356708	46640254.0	14085356708	0	0	2019-08-23-19:11:18
Jun2016_L239_20m	deduplicated	41169978.0	12433333356	41169978.0	12433333356	0	0	2019-08-24-06:30:41
Jun2016_L239_20m	filtered	40262154.0	11395442946	39520760.0	11294581631	741394	100861315	2019-08-24-11:19:57
Jun2016_L239_20m	clean	39520678.0	11294562127	39520678.0	11294562127	0	0	2019-08-27-06:06:52
Jun2016_L239_20m	QC	40262056.0	11395421549	39520678.0	11294562127	741378	100859422	2019-08-27-06:07:03
Jun2016_L626_11m	raw	68797205.0	20776755910	68797205.0	20776755910	0	0	2019-08-23-18:40:30
Jun2016_L626_11m	deduplicated	24032843.0	7257918586	24032843.0	7257918586	0	0	2019-08-24-01:14:42
Jun2016_L626_11m	filtered	23301619.0	6314931583	22756628.0	6241469979	544991	73461604	2019-08-24-14:04:34
Jun2016_L626_11m	clean	22756338.0	6241400492	22756338.0	6241400492	0	0	2019-09-01-20:48:18
Jun2016_L626_11m	QC	23301285.0	6314856258	22756338.0	6241400492	544947	73455766	2019-09-01-20:48:25
